Taluks,Potato,Tomato,Brinjal,Beans,Cluster Beans,Onion,Green chillies,Total Leafy Vegetables,Total Guard Variety Vegetables
Chikkodi,27,8201,2870,641,50,2023,6365,8,1171
Athani,0,2475,1960,190,252,4800,1640,400,291
Raibag,21,2803,2506,506,33,1426,1826,2569,372
Gokak,0,6540,4585,0,768,3620,2340,448,1158
Hukkeri,396,16764,6945,1301,845,1600,7758,264,2887
Belagavi,42094,25478,11371,1929,466,400,14622,2640,5018
Khanapur,140,1327,845,1120,9,209,49767,137,1011
Savadatti,37,29889,8253,0,292,79269,610,148,2164
Bailhongal,510,24177,5319,46,190,769,17634,219,1388
Ramadurg,56,2258,4729,84,456,143849,2749,88,1080
Kitthuru,346,5412,3402,31,5,71,16917,18,1213
Nippani,6,2235,1754,42,12,3840,2743,7,376
Kagavada,0,1023,832,273,27,1709,1262,31,316
Mudalagi,0,2675,1680,0,12,12900,2060,29,418
Jamakhandi,1,42,12,0,2,830,0,1,17
Bilagi,0,38,17,0,14,5042,0,3,48
Mudhol,0,50,18,0,12,7918,0,1,37
Badami,0,308,39,0,36,5501,51,9,207
Bagalkote,0,86,162,0,10,8094,0,4,58
Hungund,4,27,9,0,0,3134,8,2,24
Guledagudda,0,105,4,0,32,633,0,1,143
Ilkal,8,16,19,0,1,1190,2,10,23
Rabakavi Banahatti,0,50,0,0,1,274,0,1,33
Bijapur,5,1116,1830,687,69,16119,277,10,788
Indi,40,1384,1709,74,82,15630,1054,8,757
Sindagi,6,881,954,1,15,18977,5881,4,472
Basavan Bagewadi,31,1013,980,29,22,82619,268,5,297
Muddebihal,12,688,1089,0,16,14837,2106,18,256
Nidagundi,0,292,220,2,7,55202,174,0,37
Babaleshwara,12,821,652,0,65,55076,141,14,497
Chadachana,0,1449,713,2,20,4313,280,2,279
Talikote,0,84,129,118,5,3882,56,0,63
Tikota,15,537,734,93,36,10096,112,12,491
Kolhara,0,309,307,0,13,170545,172,0,220
Devara Hipparagi,19,409,417,7,4,6422,139,0,96
Aland,45,8480,4500,120,189,26024,1811,600,1118
Afzalpur,0,10880,1008,176,154,12720,2028,460,1010
Gulbarga,0,9349,2750,120,221,14528,5616,940,417
Chincholi,339,3655,1475,80,158,8623,1155,473,184
Sedam,0,1236,593,48,32,3028,680,363,183
Chittapur,20,7117,1125,176,76,11638,4455,832,620
Jevargi,40,5725,1050,48,44,5991,13232,773,480
Kalagi,0,0,0,0,0,0,0,0,0
Kamalapura,0,0,0,0,0,0,0,0,0
Yadrami,0,0,0,0,0,0,0,0,0
Shahbadha,0,0,0,0,0,0,0,0,0
Basavakalyan,708,5883,225,260,315,3403,4006,2476,2781
Bhalki,73,7730,1239,1239,114,2616,1615,1342,3130
Aurad,25,1184,391,85,0,1965,827,248,242
Bidar,960,7097,1156,248,144,8362,1930,1323,1601
Humnabad,140,1407,1120,196,256,340,952,1164,1910
Chittaguppa,140,1407,1120,196,256,340,952,1164,1910
Kamalanagara,25,1184,391,85,0,1965,827,248,242
Hulasuru,141,1176,451,52,63,680,801,495,556
Lingasugur,0,4425,621,0,105,20400,1620,546,410
Devdurga,0,10664,1944,180,70,28060,5400,1507,3919
Raichur,0,4870,2565,96,0,5198,1320,404,1728
Manvi,0,1544,680,67,25,18746,1092,235,141
Sindhanur,0,950,810,180,105,3300,1020,571,1155
Maski,0,1921,864,0,0,9000,504,385,480
Sirivara,0,661,292,29,10,8034,468,101,60
Yelburga,0,8734,6854,418,48,333765,8136,1980,5247
Kushtagi,0,11422,4655,306,0,13746,5016,190,12702
Gangavathi,0,26782,8084,0,1440,12817,4046,1048,2896
Koppal,0,23953,6325,672,1986,12412,12600,4004,16114
Karatagi,,,,,,,,,
Kukanuru,,,,,,,,,
Kanakagiri,0,0,0,0,0,0,0,0,0
Naragund,0,40,30,10,6,20,10,23,40
Rona,0,0,0,0,2,217497,64149,631,91
Gadag,0,3037,543,124,2,80629,66550,478,379
Shirahatti,0,1380,1350,90,120,18000,75,60,504
Mundargi,0,1770,1380,0,55,47700,2400,163,70
Gajendragad,0,140,20,0,0,23456,1035,234,113
Laxmeshwar,0,860,486,10,24,12000,60,90,360
Dharwad,20674,8246,3174,444,82,78548,7553,4528,2733
Navalgund,0,73,98,0,0,165956,0,1223,197
Hubli,14,1836,1674,2,17,118107,0,1418,793
Kalgatgi,0,5913,6554,17,22,1,4690,178,317
Kundgol,19,371,827,3,11,9323,0,171,110
Hubballi Nagara,20,1435,910,3,1,7844,0,759,570
Alnavara,31,28,3,572,0,0,0,48,3
Annigeri,0,0,0,0,2,63942,0,828,218
Karwar,0,0,9,0,0,0,8,20,46
Joida,0,0,0,0,0,0,0,0,0
Haliyal,0,582,857,16,27,3,727,5,159
Yellapur,0,0,0,0,0,0,0,0,0
Mundgod,35,7,8,90,0,0,546,0,13
Sirsi,24,0,0,0,0,0,11,13,2
Ankola,0,0,34,0,0,0,118,232,59
Kumta,0,0,219,0,19,1261,206,88,396
Siddapur,0,5,0,4,0,0,104,9,89
Honnavar,0,0,5,0,0,0,0,24,64
Bhatkal,0,0,6,0,0,9,0,19,17
Dandelli,0,3,18,0,0,0,16,0,0
Shiggaon,173,9374,454,0,0,12583,5509,459,73
Savanur,22,5167,1108,30,10,2485,6467,80,140
Hangal,0,2507,355,5,5,11946,12427,97,75
Haveri,0,5117,4355,600,230,11444,24633,1316,163
Byadagi,0,8500,480,40,20,575,1450,900,424
Hirekerur,0,4524,831,200,94,69,1671,0,48
Ranebennur,35,5115,4367,58,42,78071,127,427,625
Ratteehalli,0,3576,208,50,41,429,506,0,317
Hadagali,0,5355,500,100,275,37000,1540,970,6707
Hagaribommanahalli,0,2691,1466,210,0,43118,21821,404,1933
Hospet,0,930,366,39,19,5350,16329,186,1091
Siraguppa,0,900,784,0,168,1015,1200,232,451
Ballari,0,1703,840,274,51,1075,279,1499,942
Sonduru,0,3447,782,0,270,38140,2475,1176,2879
Kudligi,0,9969,1096,126,138,29629,1576,488,2544
Kurugodu,0,8,0,0,11,346,294,0,16
Kotturu,0,2950,530,134,133,29090,1836,435,1657
Kampli,0,202,291,18,12,294,54264,302,324
Harapanahalli,0,15092,360,130,42,84435,7260,1070,6326
Molakalmuru,0,1704,1542,0,137,1044,1665,9,374
Challakere,0,38250,3460,253,0,251736,1445,116,2982
Chitradurga,0,3197,669,549,187,174070,2694,504,12378
Holalkere,0,2246,739,0,0,46369,488,290,282
Hosadurga,0,7600,1815,1060,207,27545,1130,566,4478
Hiriyur,0,9242,700,0,0,78894,0,0,0
Harihar,0,1920,300,30,25,1870,750,505,1341
Jagaluru,0,1958,775,22,38,58875,3190,198,359
Davanagere,182,20261,1566,43,24,1857,1285,252,2933
Honnali,17,8580,0,0,0,0,1560,5,410
Channagiri,113,279,41,1,0,4762,197,11,101
Nyamati,17,31720,900,1600,440,10200,5000,96,2274
