Taluks,Potato,Tomato,Brinjal,Beans,Cluster Beans,Onion,Green chillies,Total Leafy Vegetables,Total Guard Variety Vegetables,Total_Vegetable_Production,Production_Category
Chikkodi,27.0,8201.0,2870.0,641.0,50.0,2023.0,6365.0,8.0,1171.0,21356.0,Medium
Athani,0.0,2475.0,1960.0,190.0,252.0,4800.0,1640.0,400.0,291.0,12008.0,Medium
Raibag,21.0,2803.0,2506.0,506.0,33.0,1426.0,1826.0,2569.0,372.0,12062.0,Medium
Gokak,0.0,6540.0,4585.0,0.0,768.0,3620.0,2340.0,448.0,1158.0,19459.0,Medium
Hukkeri,396.0,16764.0,6945.0,1301.0,845.0,1600.0,7758.0,264.0,2887.0,38760.0,High
Belagavi,42094.0,25478.0,11371.0,1929.0,466.0,400.0,14622.0,2640.0,5018.0,104018.0,High
Khanapur,140.0,1327.0,845.0,1120.0,9.0,209.0,49767.0,137.0,1011.0,54565.0,High
Savadatti,37.0,29889.0,8253.0,0.0,292.0,79269.0,610.0,148.0,2164.0,120662.0,High
Bailhongal,510.0,24177.0,5319.0,46.0,190.0,769.0,17634.0,219.0,1388.0,50252.0,High
Ramadurg,56.0,2258.0,4729.0,84.0,456.0,143849.0,2749.0,88.0,1080.0,155349.0,High
Kitthuru,346.0,5412.0,3402.0,31.0,5.0,71.0,16917.0,18.0,1213.0,27415.0,Medium
Nippani,6.0,2235.0,1754.0,42.0,12.0,3840.0,2743.0,7.0,376.0,11015.0,Medium
Kagavada,0.0,1023.0,832.0,273.0,27.0,1709.0,1262.0,31.0,316.0,5473.0,Medium
Mudalagi,0.0,2675.0,1680.0,0.0,12.0,12900.0,2060.0,29.0,418.0,19774.0,Medium
Jamakhandi,1.0,42.0,12.0,0.0,2.0,830.0,0.0,1.0,17.0,905.0,Low
Bilagi,0.0,38.0,17.0,0.0,14.0,5042.0,0.0,3.0,48.0,5162.0,Medium
Mudhol,0.0,50.0,18.0,0.0,12.0,7918.0,0.0,1.0,37.0,8036.0,Medium
Badami,0.0,308.0,39.0,0.0,36.0,5501.0,51.0,9.0,207.0,6151.0,Medium
Bagalkote,0.0,86.0,162.0,0.0,10.0,8094.0,0.0,4.0,58.0,8414.0,Medium
Hungund,4.0,27.0,9.0,0.0,0.0,3134.0,8.0,2.0,24.0,3208.0,Low
Guledagudda,0.0,105.0,4.0,0.0,32.0,633.0,0.0,1.0,143.0,918.0,Low
Ilkal,8.0,16.0,19.0,0.0,1.0,1190.0,2.0,10.0,23.0,1269.0,Low
Rabakavi Banahatti,0.0,50.0,0.0,0.0,1.0,274.0,0.0,1.0,33.0,359.0,Low
Bijapur,5.0,1116.0,1830.0,687.0,69.0,16119.0,277.0,10.0,788.0,20901.0,Medium
Indi,40.0,1384.0,1709.0,74.0,82.0,15630.0,1054.0,8.0,757.0,20738.0,Medium
Sindagi,6.0,881.0,954.0,1.0,15.0,18977.0,5881.0,4.0,472.0,27191.0,Medium
Basavan Bagewadi,31.0,1013.0,980.0,29.0,22.0,82619.0,268.0,5.0,297.0,85264.0,High
Muddebihal,12.0,688.0,1089.0,0.0,16.0,14837.0,2106.0,18.0,256.0,19022.0,Medium
Nidagundi,0.0,292.0,220.0,2.0,7.0,55202.0,174.0,0.0,37.0,55934.0,High
Babaleshwara,12.0,821.0,652.0,0.0,65.0,55076.0,141.0,14.0,497.0,57278.0,High
Chadachana,0.0,1449.0,713.0,2.0,20.0,4313.0,280.0,2.0,279.0,7058.0,Medium
Talikote,0.0,84.0,129.0,118.0,5.0,3882.0,56.0,0.0,63.0,4337.0,Low
Tikota,15.0,537.0,734.0,93.0,36.0,10096.0,112.0,12.0,491.0,12126.0,Medium
Kolhara,0.0,309.0,307.0,0.0,13.0,170545.0,172.0,0.0,220.0,171566.0,High
Devara Hipparagi,19.0,409.0,417.0,7.0,4.0,6422.0,139.0,0.0,96.0,7513.0,Medium
Aland,45.0,8480.0,4500.0,120.0,189.0,26024.0,1811.0,600.0,1118.0,42887.0,High
Afzalpur,0.0,10880.0,1008.0,176.0,154.0,12720.0,2028.0,460.0,1010.0,28436.0,High
Gulbarga,0.0,9349.0,2750.0,120.0,221.0,14528.0,5616.0,940.0,417.0,33941.0,High
Chincholi,339.0,3655.0,1475.0,80.0,158.0,8623.0,1155.0,473.0,184.0,16142.0,Medium
Sedam,0.0,1236.0,593.0,48.0,32.0,3028.0,680.0,363.0,183.0,6163.0,Medium
Chittapur,20.0,7117.0,1125.0,176.0,76.0,11638.0,4455.0,832.0,620.0,26059.0,Medium
Jevargi,40.0,5725.0,1050.0,48.0,44.0,5991.0,13232.0,773.0,480.0,27383.0,Medium
Kalagi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
