Taluk,Total_Vegetable_Production,Actual_Category,Random_Forest_Prediction,Neural_Network_Prediction,RF_Correct,NN_Correct
Hagaribommanahalli,71643.0,High,High,High,True,True
Kundgol,10835.0,Medium,Medium,Medium,True,True
Belur,34076.0,High,Medium,High,False,True
Jamakhandi,905.0,Low,Low,Low,True,True
Chikkodi,21356.0,Medium,Medium,Medium,True,True
Kundapur,1315.0,Low,Low,Low,True,True
Alur,2238.0,Low,Low,Low,True,True
Bramhavara,2087.0,Low,Low,Low,True,True
Mudalagi,19774.0,Medium,Medium,Medium,True,True
Hubli,123861.0,High,High,High,True,True
Khanapur,54565.0,High,Medium,High,False,True
Nippani,11015.0,Medium,Medium,Medium,True,True
Chamarajanagara,79072.0,High,High,High,True,True
Kadaba,17.0,Low,Low,Low,True,True
Bhatkal,51.0,Low,Low,Low,True,True
Yelburga,365182.0,High,High,High,True,True
Mudigere,0.0,Low,Low,Low,True,True
Gauribidanur,60554.0,High,High,High,True,True
Mandya,21396.0,Medium,High,Medium,False,True
Chittaguppa,7485.0,Medium,Medium,Medium,True,True
Vadagera,6836.0,Medium,Medium,Medium,True,True
Humnabad,7485.0,Medium,Medium,Medium,True,True
Hunsur,37308.0,High,High,High,True,True
Magadi,6245.0,Medium,Medium,Medium,True,True
Belthangady,47.0,Low,Low,Low,True,True
Holalkere,50414.0,High,High,High,True,True
Belagavi,104018.0,High,High,High,True,True
Malur,140117.0,High,High,High,True,True
Raibag,12062.0,Medium,Medium,Medium,True,True
Aurad,4967.0,Low,Low,Low,True,True
Arsikere,30642.0,High,High,Medium,True,False
Bangarpet,120688.0,High,High,High,True,True
Yadrami,0.0,Low,Low,Low,True,True
K.R.Nagar,22744.0,Medium,High,Medium,False,True
Hunisigi,7351.0,Medium,Medium,Medium,True,True
Raichur,16181.0,Medium,Medium,Medium,True,True
Gudibande,46201.0,High,High,High,True,True
Mundargi,53538.0,High,High,High,True,True
Dharwad,125982.0,High,High,High,True,True
Kamalapura,0.0,Low,Low,Low,True,True
Hirekerur,7437.0,Medium,Medium,Medium,True,True
Saraguru,7531.0,Medium,Low,Low,False,False
Sulya,39.0,Low,Low,Low,True,True
Kukanuru,5042.5,Low,Low,Low,True,True
Naragund,179.0,Low,Low,Low,True,True
Soraba,532.0,Low,Low,Low,True,True
